timestamp,visits,player_count
2026-02-17T11:20:20.563874Z,1490889538,3679
2026-02-17T11:30:18.780598Z,1490892767,3744
2026-02-17T11:40:19.687049Z,1490895919,3867
2026-02-17T11:50:21.335804Z,1490899352,3924
2026-02-17T12:00:16.601081Z,1490902684,4006
2026-02-17T12:10:17.719158Z,1490906798,4155
2026-02-17T12:20:16.836899Z,1490910669,4306
2026-02-17T12:30:16.033323Z,1490914450,4350
2026-02-17T12:40:14.644360Z,1490918209,4420
2026-02-17T12:50:15.887110Z,1490922180,4593
2026-02-17T13:00:17.593341Z,1490926533,4805
2026-02-17T13:10:17.048634Z,1490931365,4869
2026-02-17T13:20:16.569270Z,1490935889,4990
2026-02-17T13:30:14.966154Z,1490940251,5129
2026-02-17T13:40:15.097863Z,1490944497,5230
2026-02-17T13:50:17.184558Z,1490949113,5354
2026-02-17T14:00:17.202273Z,1490953757,5544
2026-02-17T14:10:17.221672Z,1490958603,5594
2026-02-17T14:20:14.639231Z,1490963525,5669
2026-02-17T14:30:18.444514Z,1490968304,5709
2026-02-17T14:40:17.946609Z,1490972917,5747
2026-02-17T14:50:15.802091Z,1490977665,5909
2026-02-17T15:00:18.978393Z,1490982530,6014
2026-02-17T15:10:00.00Z,NaN,NaN
2026-02-17T15:20:17.294794Z,1490994789,6179
2026-02-17T15:30:15.997856Z,1490999999,6278
2026-02-17T15:40:17.843536Z,1491005202,6446
2026-02-17T15:50:19.226376Z,1491010544,6463
2026-02-17T16:00:19.623835Z,1491016200,6566
2026-02-17T16:10:17.258451Z,1491021805,6754
2026-02-17T16:20:17.929346Z,1491027488,6800
2026-02-17T16:30:17.558262Z,1491032937,6857
2026-02-17T16:40:18.575145Z,1491038695,6932
2026-02-17T16:50:19.388819Z,1491044443,6939
2026-02-17T17:00:20.649592Z,1491050286,7097
2026-02-17T17:10:16.789649Z,1491055839,7162
2026-02-17T17:20:19.456270Z,1491063285,6934
2026-02-17T17:30:19.972330Z,1491069601,6881
2026-02-17T17:40:16.982020Z,1491075699,6897
2026-02-17T17:50:17.106081Z,1491082101,6927
2026-02-17T18:00:18.744255Z,1491088143,7159
2026-02-17T18:10:19.389315Z,1491095573,7278
2026-02-17T18:20:19.128020Z,1491101615,7278
2026-02-17T18:30:18.298724Z,1491107730,7317
2026-02-17T18:40:19.761714Z,1491113708,7287
2026-02-17T18:50:18.977155Z,1491119551,7409
2026-02-17T19:00:20.237797Z,1491124866,7464
2026-02-17T19:10:15.168644Z,1491132992,7211
2026-02-17T19:20:16.511621Z,1491139492,7071
2026-02-17T19:30:18.748425Z,1491145963,7078
2026-02-17T19:40:16.748870Z,1491152639,7168
